Doctor ID,Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration,MBBS,FCPS,BCS,MD,MS,MCPS,CCD,PGT,BDS,MPH,Gynae Problems,Cardiac Medicine,General Medicine,Aesthetic Medicine,Adolescent Medicine,Infectious Diseases,Geriatric Medicine,Polycystic Ovary Syndrome (Pcos),Hormone Dirtubances,Health Checkup (Pediatric)
1,Asst. Prof. Dr. Nurun Nahar Mohua,"['MBBS', 'D-CARD', 'PHD']",CARDIOLOGIST,16,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,"['Bacterial Endocarditis', 'Cardiac Ablation', 'Cardiac Anesthesia', 'Cardiac Catheterization', 'Cardiac Disease', 'Cardiac Invasive Procedures', 'Cardiac Medicine', 'Cardiac Mri', 'Cardiac Rehabilitation', 'Cardiac Transplant', 'Cardiac Tumor Resection', 'Congenital Heart Disease', 'Congenital Heart Surgery', 'Healthy Heart Diet']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Dr. Rezaul Alam Khan,"['MBBS', 'CCD', 'MD']",MEDICINE SPECIALIST,23,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Lung & Mediastinal Tumors', 'Medical Advisor', 'Neonatal Medicine']",1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0
3,Dr. Ummy Salma Munni,"['MS', 'MPH', 'PHD', 'INFS']",NUTRITIONIST,14,BRB Hospitals Limited,Dhaka,"['Diabetes Management', 'Diet Management', 'Food Allergies', 'Food Sensitivity Management', 'Gastroparesis', 'Geriatric Nutrition', 'Healthy Heart Diet', 'Mindful Eating', 'Naonatal Nutrition', 'Nutritional Assessment', 'Nutritional Support For Pregnancy', 'Pcod/ Pcos Diet Counselling', 'Sports Nutrition', 'Weight Loss Diet Counseling', 'Nutritional Supplements']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Dr. Mostafa Kamal Rouf,"['MBBS', 'BCS', 'FCPS', 'PGT']",MEDICINE SPECIALIST,23,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,"['Aesthetic Medicine', ""Alzheimer'S Disease"", 'Arthritis Problem', 'General Medicine', 'Geriatric Medicine', 'Heart Diseases', 'Infectious Diseases', 'Influenza (Common Cold)', 'Neonatal Medicine', ""Parkinson'S Disease"", 'Pediatric Medicine', 'Trauma And Wound Care', 'Trouble Sleeping', 'Vaccination / Immunization', 'Adolescent Medicine']",1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
5,Asst. Prof. Dr. Akhlak Ahmed,"['MBBS', 'BCS', 'MACP']",MEDICINE SPECIALIST,19,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Maternal Fetal Medicine']",1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
6,Prof. Dr. AKM Fazlul Haque,"['MBBS', 'MPH', 'MD', 'FACP']",INTERNAL MEDICINE,27,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,"['Abnormal Liver Biochemical And Function Tests', 'Abnormal Uterine Bleeding', 'Acquired Von Willebrand Syndrome', 'Acute Bacterial Meningitis', 'Acute Bronchitis', 'Anxiety Disorders Treatment', 'Bacterial Brain Abscess', 'Bleeding Peptic Ulcers', 'Cardiogenic Shock', 'Colonic Ischemia', 'Lactic Acidosis', 'Lyme Disease', ""Parkinson'S Disease"", 'Thrombotic Thrombocytopenic Purpura (Ttp)', 'Cellulitis & Skin Abscesses']",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Dr. Kazi Fouzia Afrin,"['MBBS', 'BCS', 'MD']",RESPIRATORY SPECIALIST,24,Islami Bank Hospital | Motijheel,Dhaka,"['Acute Bronchitis', 'Asbestosis', 'Chronic Bronchitis', 'Chronic Cough', 'Cystic Fibrosis', 'Emphysema', 'Goodpasture Syndrome', 'Hypersensitivity Pneumonitis', 'Lung Abscess', 'Pleural Effusion', 'Pneumonia', 'Pulmonary Edema', 'Pulmonary Hypertension', 'Tuberculosis', 'Primary Ciliary Dyskinesia (Pcd)']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Asst. Prof. Dr. Md. Sirajul Haque,"['MBBS', 'MD']",CARDIOLOGIST,20,Islami Bank Hospital | Motijheel,Dhaka,"['Cardiac Ablation', 'Cardiac Ablation', 'Cardiac Anesthesia', 'Cardiac Catheterization', 'Cardiac Disease', 'Cardiac Medicine', 'Cardiac Mri', 'Cardiac Pacing', 'Cardiac Rehabilitation', 'Cardiac Transplant', 'Cardiac Tumor Resection', 'Cardic Tmt', ' Ecg', ' Echo', 'Cardiogenic Shock']",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Asst. Prof. Dr. Rajib Dhar,"['MBBS', 'MD']",CARDIOLOGIST,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Cardiac Ablation', 'Cardiac Ablation', 'Cardiac Anesthesia', 'Cardiac Catheterization', 'Cardiac Disease', 'Cardiac Invasive Procedures', 'Cardiac Medicine', 'Cardiac Mri', 'Cardiac Pacing', 'Cardiac Rehabilitation', 'Cardiac Transplant', 'Cardic Tmt', ' Ecg', ' Echo', 'Cardio Thoracic Surgery', 'Cardiac Tumor Resection']",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Prof. Dr. Munira Ferdousi,"['MBBS', 'MPH', 'MS']",GYNECOLOGISTS,25,Uttara Crescent Hospital & Diagnostic Center,Dhaka,"['All Gynae Surgery', 'Breast Examination', 'Gynaec Laparoscopy', 'Gynecologic Oncology', 'Gynecomastia Treatment / Surgery', 'Maternal Fetal Medicine', 'Obstetrics Problems', ""Women'S Health"", 'Vaginal Hysterectomy']",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
